z,planned_energy_kWh,planned_cost_yuan,emergency_energy_kWh,emergency_cost_yuan,total_cost_yuan
0.0,21467199.0782062,12806759.2160248,1758772.4713224694,10777567.434983598,23584326.651008405
0.25,22796168.456533715,13839134.417509016,980827.619597387,5995593.296270259,19834727.713779274
0.5,24147616.382436313,14917937.576903414,280827.00204652693,1711685.6096553286,16629623.186558744
0.625,24764475.206130747,15449256.972050846,105491.11691481827,636153.4557800292,16085410.427830862
0.75,25402853.608244877,16001572.837027574,45856.43067497884,270831.1851349841,16272404.022162566
1.0,26806995.08264492,17194374.627962735,11796.142134876829,70990.11709023626,17265364.745052975
